,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
CEPE6,CEPE6,PNB,CELPE PNB,Energia Elétrica,Energia Elétrica,28.00,2022-01-21,25.72,42.01,9170,2089140000,7472140000,2021-09-30,74612000,483,111,195,024,017,-448,-030,9.7%,531,696,-2.6%,579,2533,17.2%,12.6%,5.1%,8.8%,9.9%,22.9%,088,302,070,12239000000,331000000,3420000000,5714000000,5383000000,1890000000,8539800000,1072900000,432200000,2375000000,291000000,96000000,,,,,,
CESP3,CESP3,ON,CESP CIA ENERGETICA SAO PAULO ON,Energia Elétrica,Energia Elétrica,22.69,2022-01-25,20.00,31.48,140819,7431040000,8962790000,2021-09-30,327503000,356,099,627,345,051,2573,-124,13.0%,563,757,10.0%,638,2286,61.6%,55.0%,96.9%,8.1%,8.5%,27.9%,137,026,015,14537400000,397465000,1063180000,1929210000,1531740000,7485270000,2154760000,1184460000,2088670000,572063000,794266000,395323000,,,,,,
CESP4,CESP4,PN,CESP CIA ENERGETICA SAO PAULO PN,Energia Elétrica,Energia Elétrica,16.29,2006-07-27,0.00,0.00,0,5335020,1537080000,2021-09-30,327503000,000,000,000,000,000,002,-000,0.0%,097,130,10.0%,637755,2285560,61.6%,55.0%,96.9%,8.1%,8.5%,27.9%,137,026,015,14537400000,397465000,1063180000,1929210000,1531740000,7485270000,2154760000,1184460000,2088670000,572063000,794266000,395323000,,,,,,
CESP5,CESP5,PNA,CESP CIA ENERGETICA SAO PAULO PNA,Energia Elétrica,Energia Elétrica,26.99,2022-01-25,26.99,47.23,5044,8839310000,10371000000,2021-09-30,327503000,423,118,746,410,061,3061,-148,2.9%,651,876,10.0%,638,2286,61.6%,55.0%,96.9%,8.1%,8.5%,27.9%,137,026,015,14537400000,397465000,1063180000,1929210000,1531740000,7485270000,2154760000,1184460000,2088670000,572063000,794266000,395323000,,,,,,
CESP6,CESP6,PNB,CESP CIA ENERGETICA SAO PAULO PNB,Energia Elétrica,Energia Elétrica,22.03,2022-01-25,19.67,28.79,45191300,7214890000,8746630000,2021-09-30,327503000,345,096,609,335,050,2498,-120,9.8%,549,738,10.0%,638,2286,61.6%,55.0%,96.9%,8.1%,8.5%,27.9%,137,026,015,14537400000,397465000,1063180000,1929210000,1531740000,7485270000,2154760000,1184460000,2088670000,572063000,794266000,395323000,,,,,,
CFLU4,CFLU4,PN,COCA COLA PN,,,1000.00,2003-02-13,0.00,0.00,0,0,-,2005-09-30,0,000,000,-,-,-,-,-,0.0%,-,-,8.1%,000,000,39.3%,8.9%,10.7%,14.3%,17.7%,32.2%,110,006,162,112007000,5856000,33438000,3453000,-2403000,60351000,181042000,16071000,19403000,44806000,4041000,3479000,,,,,,
CGAS3,CGAS3,ON,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS ON,Gás,Gás,139.00,2022-01-19,130.79,167.69,76616,18420400000,23313900000,2021-09-30,132521000,908,867,756,175,136,634,-319,8.8%,816,957,17.7%,1530,1603,31.3%,23.1%,19.2%,18.0%,25.3%,95.5%,207,339,078,13522500000,2303880000,5614890000,7197400000,4893530000,2124610000,10551000000,2436390000,2028200000,3177880000,791058000,655904000,,,,,,
CGAS5,CGAS5,PNAS,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS PNAS,Gás,Gás,132.00,2022-01-25,127.11,174.51,918224,17492800000,22386300000,2021-09-30,132521000,862,823,718,166,129,602,-302,10.2%,784,919,17.7%,1530,1603,31.3%,23.1%,19.2%,18.0%,25.3%,95.5%,207,339,078,13522500000,2303880000,5614890000,7197400000,4893530000,2124610000,10551000000,2436390000,2028200000,3177880000,791058000,655904000,,,,,,
CGOS3,CGOS3,ON,CELG ON,Energia Elétrica,Energia Elétrica,26.20,2007-10-08,0.00,0.00,0,858836000,1908770000,2007-12-31,32780000,-485,189,-25660,051,017,-083,-025,0.0%,-57029,-57029,9.0%,-540,1383,15.2%,-0.2%,-10.5%,-0.1%,-0.1%,-39.0%,054,248,033,5127470000,75680000,1232320000,1125610000,1049930000,453387000,1688400000,-3347010,-176923000,435613000,2522990,-64277000,,,,,,
CGOS4,CGOS4,PN,CELG PN,Energia Elétrica,Energia Elétrica,16.00,2004-08-24,0.00,0.00,0,524480,1050460000,2007-12-31,32780000,-000,000,-016,000,000,-000,-000,0.0%,-31385,-31385,9.0%,-539729,1383120,15.2%,-0.2%,-10.5%,-0.1%,-0.1%,-39.0%,054,248,033,5127470000,75680000,1232320000,1125610000,1049930000,453387000,1688400000,-3347010,-176923000,435613000,2522990,-64277000,,,,,,
CGRA3,CGRA3,ON,GRAZZIOTIN ON,Comércio,"Tecidos, Vestuário e Calçados",38.00,2022-01-25,28.71,50.08,46594,744675000,663436000,2021-09-30,19596700,403,097,678,128,073,210,284,3.6%,532,604,7.3%,944,3920,52.9%,18.8%,31.7%,10.7%,13.0%,24.1%,317,-,057,1024830000,81239000,518877000,0,-81239000,768149000,583281000,109802000,184991000,148881000,31597000,76230000,,,,,,
CGRA4,CGRA4,PN,GRAZZIOTIN PN,Comércio,"Tecidos, Vestuário e Calçados",38.70,2022-01-25,26.06,49.11,474749,758392000,677153000,2021-09-30,19596700,410,099,691,130,074,213,289,3.5%,543,617,7.3%,944,3920,52.9%,18.8%,31.7%,10.7%,13.0%,24.1%,317,-,057,1024830000,81239000,518877000,0,-81239000,768149000,583281000,109802000,184991000,148881000,31597000,76230000,,,,,,
CIEL3,CIEL3,ON NM,CIELO ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,2.18,2022-01-25,1.94,4.17,53981900,5922660000,2044710000,2021-09-30,2716820000,636,060,638,120,007,107,-303,8.1%,143,220,-16.7%,034,362,39.2%,18.9%,19.0%,1.0%,9.3%,9.5%,108,040,006,88716000000,7843520000,76936400000,3965580000,-3877940000,9824110000,4915410000,927984000,931832000,1267380000,223894000,211942000,,,,,,
CIQU3,CIQU3,ON,CACIQUE ON,,,12.49,2015-03-09,0.00,0.00,0,311601000,550260000,2014-09-30,24948000,663,105,425,041,051,333,755,0.0%,523,750,16.2%,188,1187,26.2%,9.7%,6.2%,12.1%,12.7%,15.9%,136,084,125,605562000,8666000,350632000,247325000,238659000,296175000,755339000,73386000,47016000,211265000,20413000,-2537000,,,,,,
CIQU4,CIQU4,PN,CACIQUE PN,,,12.49,2015-03-20,0.00,0.00,0,311601000,550260000,2014-09-30,24948000,663,105,425,041,051,333,755,0.0%,523,750,16.2%,188,1187,26.2%,9.7%,6.2%,12.1%,12.7%,15.9%,136,084,125,605562000,8666000,350632000,247325000,238659000,296175000,755339000,73386000,47016000,211265000,20413000,-2537000,,,,,,
CLAN3,CLAN3,ON,CLARION ON,,,0.00,,0.00,0.00,0,0,-,2012-12-31,158703000,000,000,-,-,-,-,-,0.0%,-,-,-64.0%,000,000,-,-,0.0%,0.0%,-,-1.0%,-,-,-,1171790000,8000,84641000,85798000,85790000,1012240000,31425000,-5767000,-10600000,4309000,38487000,41218000,,,,,,
CLAN4,CLAN4,PN,CLARION PN,,,3.00,2013-02-07,0.00,0.00,0,476109000,561899000,2012-12-31,158703000,-4492,047,-8256,1515,041,-1550,-636,0.0%,2268,-9743,-64.0%,-007,638,3.1%,-18.4%,-33.7%,-0.5%,-0.5%,-1.0%,073,008,003,1171790000,8000,84641000,85798000,85790000,1012240000,31425000,-5767000,-10600000,4309000,38487000,41218000,,,,,,
CLSA3,CLSA3,ON NM,CLEARSALE ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,10.27,2022-01-25,7.73,29.69,17701600,1930000000,1273270000,2021-09-30,187926000,000,246,-,-,192,247,279,0.0%,-,-,-,000,418,-,-,-,0.0%,-,-,694,015,-,1006020000,772876000,913394000,116142000,-656734000,785018000,0,0,0,116229000,-30329000,-45238000,,,,,,
CLSC3,CLSC3,ON N2,CELESC ON N2,Energia Elétrica,Energia Elétrica,62.50,2022-01-21,52.79,91.17,22453,2410750000,3492030000,2021-09-30,38572000,266,098,218,017,020,1664,-041,6.9%,260,315,15.5%,2353,6376,12.6%,8.0%,6.6%,9.1%,11.2%,36.9%,104,074,114,12142500000,743079000,3758880000,1824360000,1081280000,2459540000,13793700000,1107430000,907695000,6127110000,460153000,374747000,,,,,,
CLSC4,CLSC4,PN N2,CELESC PN N2,Energia Elétrica,Energia Elétrica,64.95,2022-01-25,44.08,75.18,748621,2505250000,3586530000,2021-09-30,38572000,276,102,226,018,021,1729,-042,7.3%,267,324,15.5%,2353,6376,12.6%,8.0%,6.6%,9.1%,11.2%,36.9%,104,074,114,12142500000,743079000,3758880000,1824360000,1081280000,2459540000,13793700000,1107430000,907695000,6127110000,460153000,374747000,,,,,,
CLSC5,CLSC5,PNA N2,CELESC PNA N2,Energia Elétrica,Energia Elétrica,39.01,2011-04-25,0.00,0.00,0,1504690000,2585970000,2021-09-30,38572000,166,061,136,011,012,1039,-025,0.0%,193,234,15.5%,2353,6376,12.6%,8.0%,6.6%,9.1%,11.2%,36.9%,104,074,114,12142500000,743079000,3758880000,1824360000,1081280000,2459540000,13793700000,1107430000,907695000,6127110000,460153000,374747000,,,,,,
CLSC6,CLSC6,PNB N2,CELESC PNB N2,Energia Elétrica,Energia Elétrica,0.00,,0.00,0.00,0,0,-,2021-09-30,38572000,000,000,-,-,-,-,-,0.0%,-,-,15.5%,000,000,-,-,-,0.0%,-,-,-,-,-,12142500000,743079000,3758880000,1824360000,1081280000,2459540000,13793700000,1107430000,0,6127110000,460153000,0,,,,,,
CMET4,CMET4,PN,CAEMI PN,,,3.91,2006-05-03,0.00,0.00,0,15326200000,14301200000,2006-03-31,3919750000,810,538,572,307,314,947,2720,0.0%,534,534,30.2%,048,073,60.0%,53.6%,43.0%,54.8%,81.4%,66.4%,264,018,102,4887690000,1527850000,2603240000,502845000,-1025010000,2847970000,4996240000,2679590000,1890980000,1131320000,527932000,294553000,,,,,,
CMIG3,CMIG3,ON N1,CEMIG ON N1,Energia Elétrica,Energia Elétrica,17.48,2022-01-25,11.51,18.52,5721750,29600000000,37785000000,2021-09-30,1693360000,718,146,579,096,056,1072,-151,6.7%,616,739,9.9%,243,1197,19.1%,16.6%,13.4%,9.6%,11.0%,20.3%,126,056,058,53116700000,3166260000,13256900000,11351300000,8184990000,20262200000,30854000000,5116180000,4121680000,9524670000,1463060000,421051000,,,,,,
CMIG4,CMIG4,PN N1,CEMIG PN N1,Energia Elétrica,Energia Elétrica,12.97,2022-01-25,9.40,14.58,98762200,21962900000,30147900000,2021-09-30,1693360000,533,108,429,071,041,795,-112,9.1%,491,589,9.9%,243,1197,19.1%,16.6%,13.4%,9.6%,11.0%,20.3%,126,056,058,53116700000,3166260000,13256900000,11351300000,8184990000,20262200000,30854000000,5116180000,4121680000,9524670000,1463060000,421051000,,,,,,
CMIN3,CMIN3,ON N2,CSNMINERACAO ON N2,Mineração,Minerais Metálicos,7.23,2022-01-25,5.15,10.39,60377000,40424700000,33032000000,2021-09-30,5591250000,577,284,354,190,143,563,9529,6.5%,260,289,-,125,255,60.7%,53.8%,33.0%,40.3%,77.1%,49.2%,197,033,075,28360600000,12043500000,14545200000,4650820000,-7392710000,14239600000,21241500000,11432100000,7009350000,3057590000,722660000,804065000,,,,,,
CMMA4,CMMA4,PN,CMA PARTICIPACOES SA PN,,,0.81,2005-01-13,0.00,0.00,0,0,-4000,2004-12-31,0,000,000,-,-,-,-,-,0.0%,003,003,-,000,000,-,-,0.0%,-3200.0%,-,-1.9%,-,-,-,4000,4000,4000,0,-4000,-79623000,0,-128000,1527000,0,-36000,1746000,,,,,,
CNFB4,CNFB4,PN N1,CONFAB PN N1,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,5.99,2012-05-11,0.00,0.00,0,2433530000,2957370000,2012-03-31,406266000,901,157,827,151,087,347,5395,0.0%,785,1005,-10.6%,066,382,30.7%,18.3%,16.8%,10.5%,12.0%,17.4%,220,047,058,2790060000,200804000,1282700000,724644000,523840000,1552470000,1610060000,294124000,269957000,340402000,57115000,48185000,,,,,,
COCE3,COCE3,ON,CIA ENERG CEARA - COELCE ON,Energia Elétrica,Energia Elétrica,58.92,2021-12-28,48.49,85.39,702,4587220000,7599220000,2021-09-30,77855000,981,132,744,063,042,-178706,-107,6.1%,792,1233,11.7%,601,4478,12.1%,8.4%,6.4%,5.7%,6.8%,13.4%,100,096,067,10851500000,334679000,3086310000,3346680000,3012000000,3486140000,7316200000,616211000,467749000,2257800000,167603000,83043000,,,,,,
COCE5,COCE5,PNA,CIA ENERG CEARA - COELCE PNA,Energia Elétrica,Energia Elétrica,54.41,2022-01-25,47.14,60.61,608590,4236090000,7248090000,2021-09-30,77855000,906,122,687,058,039,-165027,-099,6.6%,756,1176,11.7%,601,4478,12.1%,8.4%,6.4%,5.7%,6.8%,13.4%,100,096,067,10851500000,334679000,3086310000,3346680000,3012000000,3486140000,7316200000,616211000,467749000,2257800000,167603000,83043000,,,,,,
COCE6,COCE6,PNB,CIA ENERG CEARA - COELCE PNB,Energia Elétrica,Energia Elétrica,35.00,2012-03-20,0.00,0.00,0,2724920000,5736930000,2021-09-30,77855000,583,078,442,037,025,-106156,-064,0.0%,598,931,11.7%,601,4478,12.1%,8.4%,6.4%,5.7%,6.8%,13.4%,100,096,067,10851500000,334679000,3086310000,3346680000,3012000000,3486140000,7316200000,616211000,467749000,2257800000,167603000,83043000,,,,,,
COGN3,COGN3,ON,COGNA ON,Diversos,Serviços Educacionais,2.47,2022-01-25,2.00,4.80,79105900,4635220000,10682400000,2021-09-30,1876610000,-101,037,-2131,108,016,169,-063,0.0%,1918,-4911,-5.6%,-244,676,64.3%,-5.1%,-107.2%,-0.8%,-0.9%,-36.1%,154,073,015,28898600000,3168250000,7843680000,9215440000,6047190000,12679000000,4293490000,-217499000,-4574080000,1022440000,-96789000,-370222000,,,,,,
CORR3,CORR3,ON,CORREA RIBEIRO SA COM. IND. ON,Exploração de Imóveis,Exploração de Imóveis,12.00,2005-06-15,0.00,0.00,0,277836,-14442200,2021-09-30,23153,-005,-116,-040,007,001,002,-006,0.0%,2172,2066,15.0%,-24831,-1037,95.2%,-18.0%,-147.9%,-3.3%,-10.9%,2395.4%,3144,-,018,21129000,14720000,16977000,0,-14720000,-240000,3886000,-699000,-5749000,122000,-639000,-619000,,,,,,
CORR4,CORR4,PN,CORREA RIBEIRO SA COM. IND. PN,Exploração de Imóveis,Exploração de Imóveis,82.00,2021-02-11,82.00,82.00,0,1898550,-12821500,2021-09-30,23153,-033,-791,-272,049,009,012,-043,0.0%,1928,1834,15.0%,-24831,-1037,95.2%,-18.0%,-147.9%,-3.3%,-10.9%,2395.4%,3144,-,018,21129000,14720000,16977000,0,-14720000,-240000,3886000,-699000,-5749000,122000,-639000,-619000,,,,,,
CPFE3,CPFE3,ON,CPFL ENERGIA S.A. ON,Energia Elétrica,Energia Elétrica,28.19,2022-01-25,22.54,29.61,102086000,32482100000,47113300000,2021-09-30,1152250000,735,220,479,086,053,1690,-104,13.1%,574,695,8.8%,384,1281,22.9%,18.0%,12.0%,11.0%,13.0%,30.0%,114,133,061,61639600000,4920860000,15455000000,19552100000,14631300000,14756100000,37564300000,6778110000,4420540000,11189900000,2064020000,1401850000,,,,,,
CPFG3,CPFG3,ON,CPFL GERAÇÂO DE ENERGIA S/A ON,Energia Elétrica,Energia Elétrica,12.65,2005-07-29,0.00,0.00,0,2299630000,5725390000,2021-09-30,181789000000,193,042,106,060,014,769,-048,0.0%,198,263,5.4%,654,2989,61.3%,56.7%,50.0%,13.6%,15.3%,21.9%,113,092,024,16074200000,1568200000,2663400000,4993960000,3425760000,5433800000,3845870000,2178870000,1188500000,1210580000,736110000,400297000,,,,,,
CPFG4,CPFG4,PN,CPFL GERAÇÂO DE ENERGIA S/A PN,Energia Elétrica,Energia Elétrica,12.26,2005-07-29,0.00,0.00,0,2228730000,5654500000,2021-09-30,181789000000,188,041,102,058,014,745,-047,0.0%,196,260,5.4%,654,2989,61.3%,56.7%,50.0%,13.6%,15.3%,21.9%,113,092,024,16074200000,1568200000,2663400000,4993960000,3425760000,5433800000,3845870000,2178870000,1188500000,1210580000,736110000,400297000,,,,,,
CPFP4,CPFP4,PN,CPFL - PIRATININGA PN,Energia Elétrica,Energia Elétrica,44.00,2006-01-02,0.00,0.00,0,2336260000,4180410000,2021-09-30,53096800000,488,440,320,041,031,384,-051,0.0%,490,572,33.4%,902,1001,17.9%,12.8%,8.4%,9.7%,12.3%,90.2%,134,495,076,7527630000,787986000,2400160000,2632130000,1844150000,531384000,5705380000,730996000,479106000,1638660000,169709000,103194000,,,,,,
CPLE11,CPLE11,UNT,COPEL UNT,Energia Elétrica,Energia Elétrica,33.60,2022-01-25,25.59,33.60,14766700,18389600000,23993700000,2021-09-30,2736550000,325,085,471,080,037,839,-116,0.0%,485,615,12.7%,1035,3940,21.6%,17.1%,25.3%,7.8%,9.3%,26.3%,122,049,046,49833900000,4855000000,12014400000,10459000000,5604030000,21564100000,22872700000,3904330000,5663380000,6977780000,844019000,2829100000,,,,,,
CPLE3,CPLE3,ON,COPEL ON,Energia Elétrica,Energia Elétrica,6.00,2022-01-25,4.79,6.19,6982860,16419300000,22023400000,2021-09-30,2736550000,290,076,421,072,033,749,-103,19.8%,445,564,12.7%,207,788,21.6%,17.1%,25.3%,7.8%,9.3%,26.3%,122,049,046,49833900000,4855000000,12014400000,10459000000,5604030000,21564100000,22872700000,3904330000,5663380000,6977780000,844019000,2829100000,,,,,,
CPLE5,CPLE5,PNA,COPEL PNA,Energia Elétrica,Energia Elétrica,30.78,2022-01-24,9.53,54.28,2494,84231100000,89835200000,2021-09-30,2736550000,1487,391,2157,368,169,3845,-530,4.5%,1816,2301,12.7%,207,788,21.6%,17.1%,25.3%,7.8%,9.3%,26.3%,122,049,046,49833900000,4855000000,12014400000,10459000000,5604030000,21564100000,22872700000,3904330000,5663380000,6977780000,844019000,2829100000,,,,,,
CPLE6,CPLE6,PNB,COPEL PNB,Energia Elétrica,Energia Elétrica,6.93,2022-01-25,4.86,6.93,100194000,18964300000,24568300000,2021-09-30,2736550000,335,088,486,083,038,866,-119,18.9%,497,629,12.7%,207,788,21.6%,17.1%,25.3%,7.8%,9.3%,26.3%,122,049,046,49833900000,4855000000,12014400000,10459000000,5604030000,21564100000,22872700000,3904330000,5663380000,6977780000,844019000,2829100000,,,,,,
CPNY3,CPNY3,ON,COMPANY S/A ON,Construção Civil,Incorporações,2.35,2008-11-26,0.00,0.00,0,169214000,589014000,2012-03-31,72006100,-1100,042,121,023,005,020,-013,0.0%,421,421,20.1%,-021,554,26.3%,19.1%,-2.1%,4.4%,5.5%,-3.9%,226,233,023,3144930000,510702000,1487710000,930502000,419800000,398830000,730513000,139759000,-15383000,299654000,59707000,-109000,,,,,,
CPRE3,CPRE3,ON NM,CPFL RENOVAV ON NM,Energia Elétrica,Energia Elétrica,18.23,2020-07-02,0.00,0.00,0,10824700000,11665500000,2021-09-30,593783000,807,177,560,327,086,-21935,-244,0.0%,472,603,11.9%,226,1030,64.4%,58.3%,41.1%,15.4%,17.3%,21.9%,097,034,026,12592500000,1216040000,1921180000,2056880000,840847000,6118670000,3314080000,1933450000,1341700000,1080520000,756163000,543079000,,,,,,
CPSL3,CPSL3,ON,COPESUL ON,,,38.02,2007-10-17,0.00,0.00,0,5711250000,5406860000,2007-06-30,150217000,856,349,579,079,204,739,1184,0.0%,548,548,16.2%,444,1088,16.7%,13.6%,9.2%,35.3%,57.1%,40.8%,189,017,260,2795270000,581872000,1642970000,277485000,-304387000,1634730000,7254240000,986118000,667337000,2081160000,229523000,143576000,,,,,,
CRBM3,CRBM3,ON,CARAÍBA METAIS S.A ON,,,90.00,2007-02-23,0.00,0.00,0,2700810000,2476940000,2009-09-30,30009000,-2895,326,-1545,150,117,298,1690,0.0%,-1417,-1417,-1.6%,-311,2757,-8.0%,-9.7%,-5.2%,-7.6%,-12.7%,-11.3%,224,045,078,2303590000,598025000,1636090000,374158000,-223867000,827347000,1802420000,-174846000,-93294000,576655000,1651000,15449000,,,,,,
CRBM7,CRBM7,PNC,CARAÍBA METAIS S.A PNC,,,60.00,2008-04-07,0.00,0.00,0,1800540000,1576670000,2009-09-30,30009000,-1930,218,-1030,100,078,199,1126,0.0%,-902,-902,-1.6%,-311,2757,-8.0%,-9.7%,-5.2%,-7.6%,-12.7%,-11.3%,224,045,078,2303590000,598025000,1636090000,374158000,-223867000,827347000,1802420000,-174846000,-93294000,576655000,1651000,15449000,,,,,,
CRDE3,CRDE3,ON,CR2 ON,Construção Civil,Incorporações,17.00,2022-01-07,15.49,27.98,18541,41174000,25592000,2021-09-30,2422000,-230,040,-431,1985,036,295,439,0.0%,-268,-268,-28.4%,-738,4232,-29.6%,-460.7%,-861.0%,-8.3%,-9.8%,-17.4%,279,-,002,114844000,15582000,21731000,0,-15582000,102494000,2074000,-9555000,-17870000,846000,-2061000,-1889000,,,,,,
CREM3,CREM3,ON,CREMER S.A. ON,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,14.50,2018-10-24,0.00,0.00,0,465117000,657534000,2018-09-30,32077000,3269,245,852,069,067,489,-541,0.0%,707,1204,-0.3%,044,591,30.3%,8.0%,2.1%,7.9%,11.4%,7.5%,129,158,098,693715000,107394000,418112000,299811000,192417000,189701000,678650000,54608000,14226000,193036000,13813000,6304000,,,,,,
CREM4,CREM4,PN,CREMER S.A. PN,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,48.00,2004-05-07,0.00,0.00,0,1539700,193957000,2018-09-30,32077000,011,001,003,000,000,002,-002,0.0%,209,355,-0.3%,44350,591393,30.3%,8.0%,2.1%,7.9%,11.4%,7.5%,129,158,098,693715000,107394000,418112000,299811000,192417000,189701000,678650000,54608000,14226000,193036000,13813000,6304000,,,,,,
CRFB3,CRFB3,ON NM,CARREFOUR BR ON NM,Comércio e Distribuição,Alimentos,15.46,2022-01-25,13.96,22.94,72330100,30693400000,40416400000,2021-09-30,1985340000,1002,181,611,040,057,1579,-332,5.9%,650,804,13.5%,154,852,19.0%,6.6%,4.3%,9.3%,11.8%,18.1%,108,071,141,54199000000,2358000000,26656000000,12081000000,9723000000,16925000000,76686000000,5026000000,3062000000,19856000000,1167000000,638000000,,,,,,
CRIV3,CRIV3,ON,ALFA FINANCEIRA ON,Intermediários Financeiros,Soc. Crédito e Financiamento,5.00,2022-01-18,4.71,7.17,5734,514715000,-,2021-09-30,102943000,777,050,-,-,-,-,-,0.0%,-,-,-2.6%,064,994,-,-,0.0%,0.0%,-,6.5%,-,-,-,6386610000,,,,,1023020000,,,66274000,,,22903000,0,0,359642000,62274000,101044000,16018000
CRIV4,CRIV4,PN,ALFA FINANCEIRA PN,Intermediários Financeiros,Soc. Crédito e Financiamento,5.95,2022-01-25,5.32,6.40,8479,612511000,-,2021-09-30,102943000,924,060,-,-,-,-,-,7.6%,-,-,-2.6%,064,994,-,-,0.0%,0.0%,-,6.5%,-,-,-,6386610000,,,,,1023020000,,,66274000,,,22903000,0,0,359642000,62274000,101044000,16018000
CRPG3,CRPG3,ON,CRISTAL ON,Químicos,Químicos Diversos,75.78,2021-12-28,41.41,127.00,416,2199060000,1983940000,2021-09-30,29019000,762,253,973,226,184,369,531,0.0%,794,878,12.6%,994,2999,35.1%,23.2%,29.6%,18.9%,24.3%,33.2%,515,000,082,1194950000,219290000,738942000,4172000,-215118000,870219000,974962000,226030000,288500000,235041000,53218000,68408000,,,,,,
CRPG5,CRPG5,PNA,CRISTAL PNA,Químicos,Químicos Diversos,58.01,2022-01-25,40.75,117.42,1129330,1683390000,1468270000,2021-09-30,29019000,583,193,745,173,141,283,406,8.6%,587,650,12.6%,994,2999,35.1%,23.2%,29.6%,18.9%,24.3%,33.2%,515,000,082,1194950000,219290000,738942000,4172000,-215118000,870219000,974962000,226030000,288500000,235041000,53218000,68408000,,,,,,
CRPG6,CRPG6,PNB,CRISTAL PNB,Químicos,Químicos Diversos,58.00,2022-01-24,41.73,116.83,23971,1683100000,1467980000,2021-09-30,29019000,583,193,745,173,141,283,406,8.6%,587,649,12.6%,994,2999,35.1%,23.2%,29.6%,18.9%,24.3%,33.2%,515,000,082,1194950000,219290000,738942000,4172000,-215118000,870219000,974962000,226030000,288500000,235041000,53218000,68408000,,,,,,
CRTP3,CRTP3,ON,CELULAR CRT PARTICIPAÇÕES S/A ON,,,86.50,2006-03-30,0.00,0.00,0,2878810000,2641920000,2005-12-31,33281000,2226,238,1963,243,157,555,819,0.0%,1802,1802,10.1%,389,3637,52.7%,12.4%,10.9%,8.0%,12.4%,10.7%,214,012,064,1834100000,379616000,974818000,142728000,-236888000,1210570000,1182370000,146645000,129343000,290013000,21556000,24872000,,,,,,
CRTP5,CRTP5,PNA,CELULAR CRT PARTICIPAÇÕES S/A PNA,,,62.10,2006-03-30,0.00,0.00,0,2066750000,1829860000,2005-12-31,33281000,1598,171,1409,175,113,398,588,0.0%,1248,1248,10.1%,389,3637,52.7%,12.4%,10.9%,8.0%,12.4%,10.7%,214,012,064,1834100000,379616000,974818000,142728000,-236888000,1210570000,1182370000,146645000,129343000,290013000,21556000,24872000,,,,,,
CRUZ3,CRUZ3,ON,SOUZA CRUZ ON,,,27.59,2015-11-30,0.00,0.00,0,42169900000,42192400000,2015-09-30,1528450000,2531,2246,2074,661,718,6203,12493,0.0%,1927,2075,3.0%,109,123,61.1%,31.9%,26.1%,34.6%,46.8%,88.8%,119,063,109,5869180000,1160400000,4329390000,1182820000,22417000,1877350000,6375550000,2033470000,1666240000,1543160000,414172000,344582000,,,,,,
CSAB3,CSAB3,ON,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA ON,Previdência e Seguros,Seguradoras,65.00,2021-06-16,65.00,69.01,0,499200000,-,2021-09-30,7680000,1505,276,1714,15893,133,-,-,2.9%,-,-,-15.6%,432,2358,65.6%,927.0%,1056.0%,7.8%,-,18.3%,-,-,001,374066000,0,0,0,0,181092000,3141000,29118000,33169000,519000,19248000,19232000,,,,,,
CSAB4,CSAB4,PN,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA PN,Previdência e Seguros,Seguradoras,44.05,2022-01-17,40.04,53.00,5100,338304000,-,2021-09-30,7680000,1020,187,1162,10771,090,-,-,4.6%,-,-,-15.6%,432,2358,65.6%,927.0%,1056.0%,7.8%,-,18.3%,-,-,001,374066000,0,0,0,0,181092000,3141000,29118000,33169000,519000,19248000,19232000,,,,,,
CSAN3,CSAN3,ON,COSAN SA INDUSTRIA E COMERCIO ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",21.96,2022-01-25,18.23,26.74,139525000,41154600000,72546900000,2021-09-30,1874070000,753,291,1224,186,045,232,-109,2.9%,1426,2158,28.7%,292,756,26.2%,15.2%,26.7%,3.7%,4.7%,38.6%,292,332,024,90876700000,15628200000,26937500000,47020500000,31392300000,14162100000,22095100000,3361090000,5466000000,6890470000,1205120000,3264680000,,,,,,
