,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m,RankEV_Ebit,RankROIC,volumeDiario,Rankfim
LREN3,LREN3,ON,RENNER ON,Comércio,"Tecidos, Vestuário e Calçados",27.01,2022-01-25,21.69,43.95,309451000,26706900000,24285500000,2021-09-30,988780000,4702,281,1781,273,137,378,1065,1.5%,1024,1.6190000000000002,6.0%,057,961,57.6%,15.3%,5.8%,7.7%,12.2%,6.0%,231,035,050,19462800000,5790720000,12473200000,3369300000,-2421420000,9497620000,9770690000,1499600000,567998000,2626010000,427173000,171956000,,,,,,,58.0,167.5,7736275.0,225.5
WIZS3,WIZS3,ON NM,WIZ S.A. ON NM,Previdência e Seguros,Corretoras de Seguros,7.65,2022-01-25,5.62,18.54,15732400,1223290000,917000000,2021-09-30,159907000,671,313,317,140,100,368,-677,8.0%,216,0.238,14.8%,114,245,66.1%,44.1%,22.6%,31.6%,58.7%,46.7%,212,057,072,1220190000,529431000,627969000,223142000,-306289000,391028000,874668000,385304000,182427000,193979000,82687000,22007000,,,,,,,193.0,36.0,393310.0,229.0
LOGN3,LOGN3,ON NM,Log-In ON NM,Transporte,Transporte Hidroviário,20.69,2022-01-25,13.82,24.20,18023800,2189850000,2994320000,2021-09-30,105841000,1044,500,1148,165,098,423,-255,0.0%,965,1.5690000000000002,14.4%,198,414,21.5%,14.3%,15.8%,8.5%,12.0%,47.9%,223,311,060,2234790000,556096000,938462000,1360570000,804471000,437799000,1330890000,190798000,209822000,359536000,52567000,60235000,,,,,,,62.0,169.0,450595.0,231.0
ASAI3,ASAI3,ON NM,ASSAI ON NM,Comércio e Distribuição,Alimentos,12.30,2022-01-25,11.30,19.45,131638000,16564300000,21846300000,2021-09-30,1346690000,936,690,766,065,080,-5792,-175,0.9%,994,1.01,-,131,178,12.4%,8.5%,7.1%,10.4%,17.2%,73.6%,097,340,122,20769000000,2881000000,8881000000,8163000000,5282000000,2402000000,25402000000,2163000000,1769000000,10845000000,949000000,538000000,,,,,,,100.0,132.0,3290950.0,232.0
FLRY3,FLRY3,ON NM,FLEURY ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,19.04,2022-01-25,15.89,27.89,34894200,6053650000,8116580000,2021-09-30,317944000,1446,334,843,160,099,830,-254,3.8%,739,1.1309999999999998,10.9%,132,571,30.6%,19.0%,11.1%,11.8%,14.8%,23.1%,162,167,062,6105850000,964742000,1901070000,3027660000,2062920000,1814990000,3782860000,717913000,418592000,1028830000,186146000,94963000,,,,,,,86.5,147.5,872355.0,234.0
LCAM3,LCAM3,ON NM,LOCAMERICA ON NM,Diversos,Aluguel de carros,24.82,2022-01-25,19.65,29.44,73583900,12626700000,18888700000,2021-09-30,508729000,1367,265,756,192,083,2654,-171,1.6%,865,1.1309999999999998,59.1%,182,938,36.6%,25.4%,14.1%,11.0%,13.8%,19.3%,119,169,043,15189700000,1791230000,3033760000,8053280000,6262050000,4772960000,6566090000,1670230000,923445000,1643530000,495352000,267286000,,,,,,,86.5,152.5,1839597.5,239.0
SMTO3,SMTO3,ON NM,SAO MARTINHO ON NM,Alimentos Processados,Açucar e Alcool,36.72,2022-01-25,27.01,40.34,44990500,12999300000,18039000000,2021-09-30,354011000,1252,290,828,256,094,495,-288,6.3%,599,1.15,14.1%,293,1267,39.9%,31.0%,20.5%,11.4%,13.2%,23.1%,220,142,037,13815400000,1351330000,4817140000,6391060000,5039730000,4485740000,5069920000,1569180000,1038030000,1417810000,523813000,368412000,,,,,,,85.0,154.0,1124762.5,239.0
ETER3,ETER3,ON,ETERNIT ON,Construção e Engenharia,Produtos para Construção,16.16,2022-01-25,10.06,33.45,39610300,998316000,777344000,2021-09-30,61777000,296,185,338,094,102,191,368,1.5%,249,0.263,9.4%,546,876,44.6%,27.8%,31.7%,30.3%,44.0%,62.3%,381,007,109,976837000,259344000,707065000,38372000,-220972000,540970000,1063030000,295700000,337106000,275978000,72820000,97994000,,,,,,,190.0,49.0,990257.5,239.0
VALE3,VALE3,ON NM,VALE ON NM,Mineração,Minerais Metálicos,84.06,2022-01-25,62.33,106.26,1905030000,431434000000,446273000000,2021-09-30,5132460000,451,238,237,143,091,2026,-242,17.9%,224,0.24500000000000002,27.4%,1864,3532,61.2%,60.3%,31.4%,38.5%,46.6%,52.8%,124,041,064,472574000000,59057200000,108736000000,73895700000,14838500000,181296000000,302347000000,182167000000,95687000000,66260700000,35124200000,20203200000,,,,,,,192.0,48.0,47625750.0,240.0
LEVE3,LEVE3,ON,MAHLE METAL LEVE ON,Automóveis e Motocicletas,Automóveis e Motocicletas,32.14,2022-01-25,16.59,42.61,12275500,4123850000,4068460000,2021-09-30,128309000,768,240,611,120,141,502,995,2.9%,524,0.6020000000000001,7.8%,418,1340,29.1%,19.6%,15.6%,23.1%,29.2%,31.2%,203,014,118,2918550000,294891000,1616630000,239496000,-55395000,1719860000,3450250000,675475000,536946000,949478000,167088000,139830000,,,,,,,155.5,86.0,306887.5,241.5
